ChemicalID	DiseaseID	PubMedIDs
C033309	D051677	2435491
C033309	D051677	2855872
C033309	D007942	2855872
C033309	D007942	3829965
C033309	D007942	8603480
C033309	D008114	3731386
C033309	D008325	2855872
C033309	D008325	3829965
C033309	D009374	1511410
C033309	D010212	6744230
C033309	D012513	3971343
C033309	D014846	3829965
C015262	D001249	10934080
C015262	D059366	25918132
C015262	D017449	18759878
C015262	D017449	26795242
C015262	D007280	17938725
C015262	D012130	17693426
C015262	D012130	24211530
C072581	D064420	21530604
C026702	D000782	10728588
C026702	D001943	18272409
C026702	D002471	10728588
C011465	D002318	3604473
C020365	D016640	19546757
C020365	D018149	19546757
C020365	D007248	15146273
C020365	D007248	16049688
C020365	D008106	1465320
C020365	D009374	8068195
C020365	D011248	19546757
C021183	D005317	22701600
C008541	D009461	7123073
C053486	D000014	17091503
C092396	D006930	14622681
C540688	D006212	19876858
C540688	D006212	20470659
C540688	D006973	20470659
C540688	D011595	19876858
C540688	D011595	20470659
C540688	D012640	19876858
C540688	D013610	20470659
C540688	D059246	20470659
C033310	D002294	3829965
C033310	D002471	6831639
C033310	D002869	1908946
C033310	D002869	4079952
C033310	D002869	7144792
C033310	D005354	3023884
C033310	D005354	4075282
C033310	D051677	3037147
C033310	D051677	8603480
C033310	D051677	1649014
C033310	D051677	2435491
C033310	D051677	2855872
C033310	D007942	8603480
C033310	D007942	1649014
C033310	D007942	2855872
C033310	D007942	3829965
C033310	D008114	3731386
C033310	D008325	1649014
C033310	D008325	2855872
C033310	D008325	3829965
C033310	D009374	3037147
C033310	D010212	6744230
C033310	D012513	3971343
C033310	D012513	6722977
C033310	D014846	3829965
C042509	D003480	11993792
C042509	D006973	11993792
C042509	D007008	11993792
C038135	D000236	3731537
C038135	D000310	3731537
C522300	D009410	23335626
C047518	D002780	3940497
C030703	D006973	7285864
C035921	D008114	3567921
C035921	D009369	20226806
C035922	D008114	3567921
C023850	D006934	10927029
C023850	D006934	14684937
C023850	D006934	18173537
C023850	D053565	10927029
C023850	D053565	14684937
C019370	D007035	3666037
C042533	D006934	15364716
C036361	D006948	15580483
C036361	D009461	8532178
C036361	D012640	8532155
C047777	D058186	3952725
C047777	D000236	12692653
C047777	D000740	3952725
C047777	D001284	3952725
C047777	D002761	3952725
C047777	D056486	3952725
C047777	D006505	3952725
C047777	D006529	3952725
C047777	D006965	12692653
C047777	D006965	3952725
C047777	D006984	12692653
C047777	D007249	12692653
C047777	D007414	12692653
C047777	D008113	12692653
C047777	D008114	2629100
C047777	D008114	2629101
C047777	D008175	11560247
C047777	D008175	12692653
C047777	D009336	3952725
C047777	D013274	11397402
C047777	D013274	11560247
C047777	D013274	12692653
C047777	D001749	12692653
C034090	D006528	12799680
C034090	D007680	12799680
C033020	D056486	21546349
C027279	D004067	7191813
C027279	D007942	7191813
C027279	D008325	7191813
C061162	D000740	9797816
C061162	D000855	9797816
C061162	D003967	9797816
C061162	D007970	9797816
C061162	D009325	9797816
C061162	D013921	9797816
C476323	D012640	1490893
C118559	D053627	19638432
C118559	D003072	23266320
C118559	D003072	23395825
C118559	D003866	23266320
C118559	D056486	19638432
C118559	D056486	20211940
C118559	D064420	21527306
C118559	D007246	17517825
C118559	D008569	23266320
C118559	D009336	20211940
C118559	D009461	21527306
C118559	D020258	17517825
C118559	D009845	17890766
C118559	D009845	19638432
C118559	D013733	17890766
C115293	D010146	9719496
C036491	D013274	292813
C051950	D002277	19786060
C051950	D002294	21860474
C051950	D004938	12748737
C051950	D006965	12748737
C051950	D007249	12748737
C051950	D009062	12748737
C051950	D009062	2881764
C051950	D009336	12748737
C051950	D009375	12748737
C051950	D009375	21860474
C051950	D018307	12748737
C051950	D009669	9385384
C051950	D009669	12748737
C051950	D009669	19786060
C051950	D009669	2881764
C051950	D010212	11170261
C051950	D010212	21860474
C051950	D013274	21860474
C051950	D013274	2881764
C051950	D013274	3768853
C051950	D013274	11170261
C051950	D013274	11397402
C051950	D013274	12748737
C051950	D015431	12748737
C055238	D009336	19900470
C006304	D009135	34807
C031337	D009336	5135827
C055903	D004487	17169978
C055903	D009336	17169978
C055903	D010182	17169977
C055903	D010195	17169978
C095284	D006930	10401557
C044846	D019966	11325400
C051942	D003928	16859672
C017367	D000740	11528249
C017367	D000855	11528249
C017367	D000855	7448823
C017367	D003967	11528249
C017367	D003967	7448823
C017367	D004244	7887639
C017367	D005221	11528249
C017367	D001068	6093712
C017367	D005334	7887639
C017367	D020233	6093712
C017367	D056784	2096243
C017367	D056784	2487975
C017367	D056784	2667512
C017367	D056784	3309192
C017367	D056784	3379758
C017367	D056784	8748897
C017367	D056784	11725511
C017367	D056784	11734966
C017367	D056784	17682013
C017367	D052016	11528249
C017367	D009325	7448823
C017367	D019965	2096243
C017367	D009461	11528249
C017367	D009503	11528249
C017367	D010292	7448823
C017367	D013064	6093712
C017367	D013921	11528249
C017367	D014555	7448823
C017367	D014555	7887639
C017367	D014839	7448823
C046942	D008113	6825084
C046942	D008114	3567921
C114535	D009410	9690874
C001369	D017109	21141920
C001369	D002375	5157720
C001369	D002375	7865167
C001369	D007859	21141920
C001369	D013375	8747757
C014037	D008113	6825084
C014037	D008114	3567921
C014037	D009369	20226806
C108731	D008113	6825084
C040081	D003128	7603229
C065833	D008113	7586158
C065833	D011230	8242853
C050093	D011552	25590513
C033146	D008171	23816456
C012376	D008114	3567921
C121954	D001919	10440531
C521406	D016171	17324143
C044755	D009410	21820214
C041507	D011041	21072839
C053035	D008113	24802129
C030530	D012640	8799489
C053085	D012640	8799489
C509270	D001008	21740148
C509270	D064420	21740148
C509270	D006212	21740148
C509270	D007319	21740148
C509270	D019966	21740148
C029350	D007248	15579410
C016614	D055371	15204773
C016614	D056486	8212003
C016614	D008171	8212003
C016614	D055370	2384072
C032668	D000230	10396879
C032668	D000230	11746253
C032668	D000230	9726818
C032668	D000236	10396879
C032668	D000236	9726818
C032668	D006528	12616606
C032668	D002294	3829965
C032668	D002294	8403221
C032668	D002471	6831639
C032668	D051677	6692400
C032668	D006965	10396879
C032668	D006965	9726818
C032668	D007942	3829965
C032668	D007942	8603480
C032668	D008114	3731386
C032668	D008171	9726818
C032668	D008175	10396879
C032668	D008325	8603480
C032668	D008325	1649014
C032668	D008325	3829965
C032668	D008325	6692400
C032668	D014846	3829965
C045236	D009374	3986967
C045235	D009374	3986967
C061089	D005770	2778847
C061089	D008175	2778847
C061089	D008325	2778847
C061089	D008654	2778847
C061089	D009423	2778847
C061089	D013736	2778847
C061087	D009423	2778847
C011954	D011230	3401844
C044707	D008114	3731386
C038844	D020258	20643751
C089215	D001169	24709313
C586710	D048629	25792264
C552597	D009410	24211273
C552597	D011041	23494106
C033198	D048629	20875051
C024336	D017495	1402006
C024336	D008114	2563599
C024336	D008114	2629100
C024336	D011230	2563599
C045293	D010554	573894
C505958	D019969	19007525
C097396	D004409	10762498
C021279	D019970	10958121
C102088	D007674	19481134
C102088	D010212	24802129
C102088	D012509	24802129
C102088	D012878	24802129
C031903	D000740	16531713
C031903	D000855	16531713
C031903	D003967	11202810
C031903	D003967	16531713
C031903	D003967	9348575
C031903	D004751	11202810
C031903	D007970	16531713
C031903	D014839	9348575
C055987	D006973	19458537
C031796	D004409	16325000
C054919	D007247	12515675
C054919	D007248	12515675
C530171	D011041	19166338
C541131	D003866	18288320
C541131	D005234	21126940
C029790	D001008	22595366
C029790	D001284	20961953
C029790	D003072	21673325
C029790	D004420	20961953
C029790	D005831	21190954
C029790	D006130	20961953
C029790	D006984	20961953
C029790	D007248	12948891
C029790	D007859	19464308
C029790	D008107	20961953
C029790	D052801	21190954
C029790	D009410	20297801
C029790	D011297	21673325
C029790	D011297	19327374
C029790	D011297	19464308
C029790	D011297	21190954
C029790	D011629	19464308
C029790	D012021	22595366
C029790	D013158	20961953
C029790	D014564	19464308
C066675	D005234	21126940
C032904	D004408	23402744
C032904	D011297	23402744
C478854	D007859	14550744
C478854	D008569	14550744
C477694	D001848	22331496
C477694	D006332	22331496
C477694	D056486	16024102
C477694	D056486	23124135
C477694	D006319	21873374
C477694	D006529	22331496
C477694	D007859	23578391
C477694	D009422	22323513
C477694	C563515	24451063
C477694	D011041	22323513
C477694	D011297	23578391
C500336	D007247	21296657
C511295	D000015	20566336
C511295	D001321	19211157
C511295	D003456	17938745
C511295	D003920	27291303
C511295	D056486	16024102
C511295	D056486	25639565
C511295	D004487	22546086
C511295	D006319	21873374
C511295	D006529	25639565
C511295	D006943	27291303
C511295	D007859	22467012
C511295	D008569	22467012
C511295	C563515	24451063
C511295	D011041	18455754
C511295	D011041	22546086
C511295	D011297	19464578
C511295	D011297	22343140
C035476	D013959	21800831
C045798	D008107	1715830
C029141	D000740	20430063
C029141	D056486	20430063
C029141	D056486	21920950
C029141	D064420	20430063
C029141	D006529	21920950
C029141	D007674	20430063
C029141	D007674	21920950
C001079	D000014	6734493
C001079	D000014	3196154
C001079	D000014	3355362
C001079	D000014	473085
C001079	D000230	1933837
C001079	D001848	3355362
C001079	D003110	1933837
C001079	D004480	7940403
C001079	D017880	3355362
C001079	D017880	6734493
C093973	D009202	10620750
C093973	D009336	17309078
C093973	D012164	12904460
C046728	D006461	19555678
C046728	D006461	20510893
C046728	D006461	26658032
C046728	D007249	23712098
C019273	D003092	22200888
C019273	D004681	16091293
C404910	D010049	16760418
C404910	D010049	22306526
C060080	D002759	16362062
C060080	D001943	11921183
C060080	D006528	16362062
C060080	D018281	16362062
C060080	D064420	16362062
C060080	D007246	2792593
C060080	D007680	12594523
C060080	D007680	2731663
C060080	D007680	9437797
C060080	D007938	12594523
C060080	D008175	12594523
C060080	D008175	9437797
C060080	D008325	11921183
C060080	D010190	9437797
C060080	D012878	12594523
C060080	D012878	9437797
C060080	D013964	12594523
C060080	D013964	9437797
C060080	D001749	9437797
C060080	D001749	12594523
C060080	D001749	22019925
C060080	D001749	2731663
C120227	D019465	17895999
C000516	D020258	21438623
C000516	D062025	1609424
C067411	D056486	7676453
C067411	D056486	12451447
C067411	D056486	12570398
C067411	D056486	12919722
C067411	D005234	11548120
C067411	D008107	7817129
C067411	D008107	9284778
C067411	D008114	7601319
C067411	D010190	7601319
C067411	D013736	7601319
C116893	D006529	9920142
C008437	D005832	16231125
C030577	D005832	16231125
C087667	D002658	19647017
C087667	D005234	21126940
C087667	D019954	19647017
C067940	D001284	20961953
C067940	D004420	20961953
C067940	D005234	21126940
C067940	D006130	20961953
C067940	D006984	20961953
C067940	D008107	20961953
C067940	D024821	19440495
C067940	D013158	20961953
C111118	D002658	20019912
C111118	D019957	20019912
C111118	D011297	20019912
C014218	D009369	8820588
C035834	D024821	19440495
C070055	D018248	21383778
C070055	D001284	20961953
C070055	D001932	22240979
C070055	D018281	21383778
C070055	D015179	15531428
C070055	D002658	19647017
C070055	D004420	20961953
C070055	D005234	21126940
C070055	D006130	20961953
C070055	D006965	21383778
C070055	D006984	20961953
C070055	D006984	21383778
C070055	D007249	21383778
C070055	D008107	20961953
C070055	D008175	21383778
C070055	D024821	19440495
C070055	D009336	19362103
C070055	D009336	21383778
C070055	D009362	20064788
C070055	D009362	22240979
C070055	D019954	19647017
C070055	C538110	21383778
C070055	D013158	20961953
C070055	D014594	21383778
C524862	D006529	2416373
C524862	D009422	2416373
C038890	D020964	24950391
C038890	D004715	9294722
C038890	D006330	11294989
C038890	D007333	26752053
C038890	D008114	18723826
C038890	D024821	19440495
C038890	D056128	26752053
C038890	D011041	20861070
C038890	D011041	24950391
C038890	D011248	18470296
C012074	D009669	4038687
C492600	D008113	19176366
C492600	D008114	19176367
C489827	D001259	19748519
C489827	D018476	20019907
C078765	D002292	14587099
C078765	D002292	21693435
C078765	D002292	21813464
C078765	D002471	21813464
C078765	D006402	20034486
C078765	D007674	9815189
C078765	D007674	15226156
C078765	D007674	3200250
C078765	D007674	9450487
